Entity,Code,Year,Diplomatic parking violations (Fisman and Miguel (2007))
Albania,ALB,2002,85.5
Algeria,DZA,2002,25.6
Angola,AGO,2002,82.7
Argentina,ARG,2002,4
Armenia,ARM,2002,10.2
Australia,AUS,2002,0
Austria,AUT,2002,2.2
Azerbaijan,AZE,2002,0
Bahrain,BHR,2002,38.2
Bangladesh,BGD,2002,33.4
Belarus,BLR,2002,2.7
Belgium,BEL,2002,2.7
Benin,BEN,2002,50.4
Bhutan,BTN,2002,18.6
Bolivia,BOL,2002,3.1
Bosnia and Herzegovina,BIH,2002,34.9
Botswana,BWA,2002,18.7
Brazil,BRA,2002,30.3
Bulgaria,BGR,2002,119
Burkina Faso,BFA,2002,0
Burundi,BDI,2002,38.2
Cambodia,KHM,2002,10
Cameroon,CMR,2002,44.1
Canada,CAN,2002,0
Central African Republic,CAF,2002,0
Chad,TCD,2002,125.9
Chile,CHL,2002,16.7
China,CHN,2002,9.6
Colombia,COL,2002,0
Comoros,COM,2002,10.1
Congo,COG,2002,7.8
Costa Rica,CRI,2002,10.2
Cote d'Ivoire,CIV,2002,68
Croatia,HRV,2002,6.6
Cyprus,CYP,2002,2.5
Czechia,CZE,2002,19.1
Democratic Republic of Congo,COD,2002,6.4
Denmark,DNK,2002,0
Djibouti,DJI,2002,6.5
Dominican Republic,DOM,2002,0.1
Ecuador,ECU,2002,0
Egypt,EGY,2002,141.4
El Salvador,SLV,2002,1.7
Eritrea,ERI,2002,0.8
Estonia,EST,2002,10.7
Eswatini,SWZ,2002,4.4
Ethiopia,ETH,2002,60.4
Fiji,FJI,2002,15.7
Finland,FIN,2002,0.1
France,FRA,2002,6.2
Gabon,GAB,2002,2.2
Gambia,GMB,2002,1.5
Georgia,GEO,2002,9.8
Germany,DEU,2002,1
Ghana,GHA,2002,11.4
Greece,GRC,2002,0
Guatemala,GTM,2002,0.1
Guinea,GIN,2002,35.2
Guinea-Bissau,GNB,2002,10.9
Guyana,GUY,2002,2.3
Haiti,HTI,2002,3
Honduras,HND,2002,5.5
Hungary,HUN,2002,3.3
India,IND,2002,6.2
Indonesia,IDN,2002,36.5
Iran,IRN,2002,15.9
Ireland,IRL,2002,0
Israel,ISR,2002,0
Italy,ITA,2002,14.8
Jamaica,JAM,2002,0
Japan,JPN,2002,0
Jordan,JOR,2002,3
Kazakhstan,KAZ,2002,21.4
Kenya,KEN,2002,7.8
Kuwait,KWT,2002,249.4
Kyrgyzstan,KGZ,2002,5.2
Laos,LAO,2002,6.2
Latvia,LVA,2002,0
Lebanon,LBN,2002,1.4
Lesotho,LSO,2002,19.1
Liberia,LBR,2002,13.7
Libya,LBY,2002,8.3
Lithuania,LTU,2002,2.1
Madagascar,MDG,2002,8.8
Malawi,MWI,2002,13.2
Malaysia,MYS,2002,1.4
Mali,MLI,2002,37.9
Mauritania,MRT,2002,11.3
Mauritius,MUS,2002,20.7
Mexico,MEX,2002,4
Moldova,MDA,2002,0.7
Mongolia,MNG,2002,10.3
Morocco,MAR,2002,60.8
Mozambique,MOZ,2002,112.1
Namibia,NAM,2002,4.3
Nepal,NPL,2002,16.7
Netherlands,NLD,2002,0
New Zealand,NZL,2002,0.1
Nicaragua,NIC,2002,4.9
Niger,NER,2002,20.2
Nigeria,NGA,2002,59.4
North Macedonia,MKD,2002,3.3
Norway,NOR,2002,0
Oman,OMN,2002,0
Pakistan,PAK,2002,70.3
Panama,PAN,2002,0
Papua New Guinea,PNG,2002,5.6
Paraguay,PRY,2002,13.2
Peru,PER,2002,3.1
Philippines,PHL,2002,11.7
Poland,POL,2002,1.7
Portugal,PRT,2002,8.9
Romania,ROU,2002,3.6
Russia,RUS,2002,2.1
Rwanda,RWA,2002,13.1
Saudi Arabia,SAU,2002,34.2
Senegal,SEN,2002,80.2
Serbia and Montenegro,OWID_SRM,2002,38.5
Sierra Leone,SLE,2002,25.9
Singapore,SGP,2002,3.6
Slovakia,SVK,2002,6.5
Slovenia,SVN,2002,5.3
South Africa,ZAF,2002,34.5
South Korea,KOR,2002,0.4
Spain,ESP,2002,12.9
Sri Lanka,LKA,2002,17.4
Sudan,SDN,2002,120.6
Sweden,SWE,2002,0
Switzerland,CHE,2002,0.1
Syria,SYR,2002,53.3
Tajikistan,TJK,2002,4.4
Tanzania,TZA,2002,8.4
Thailand,THA,2002,24.8
Togo,TGO,2002,10
Trinidad and Tobago,TTO,2002,1.4
Tunisia,TUN,2002,16.7
Turkey,TUR,2002,0
Turkmenistan,TKM,2002,5.9
Uganda,UGA,2002,3.5
Ukraine,UKR,2002,13.1
United Arab Emirates,ARE,2002,0
United Kingdom,GBR,2002,0
Uruguay,URY,2002,4.5
Uzbekistan,UZB,2002,8.9
Venezuela,VEN,2002,9.2
Vietnam,VNM,2002,10
Yemen,YEM,2002,9.2
Zambia,ZMB,2002,61.2
Zimbabwe,ZWE,2002,46.2